Sno,Question,SQL Query,NL Template
1,How many trips were created in the last 30 days?,"SELECT COUNT(*) AS trip_count FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day');",There were {trip_count} trips created in the last 30 days.
2,How many trips were closed in the last 30 days?,"SELECT COUNT(*) AS closed_trips FROM trips_full WHERE DATE(trip_closed_at) >= DATE('now','-30 day');",A total of {closed_trips} trips were closed in the last 30 days.
3,How many unique indents were created in the last 30 days?,"SELECT COUNT(DISTINCT indent_fteid) AS indent_count FROM trips_full WHERE DATE(indent_created_at) >= DATE('now','-30 day');",There were {indent_count} unique indents created in the last 30 days.
4,How many unique trips exist in the dataset for the last 30 days?,"SELECT COUNT(DISTINCT trip_id) AS unique_trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day');",There are {unique_trips} unique trips in the last 30 days.
5,How many master trips exist in the last 30 days?,"SELECT COUNT(DISTINCT master_trip_id) AS master_trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day');",There are {master_trips} unique master trips in the last 30 days.
6,What is the total number of vehicles requested in indents in the last 30 days?,"SELECT SUM(VEHICLE_QUANTITY) AS total_vehicles_requested FROM trips_full WHERE DATE(indent_created_at) >= DATE('now','-30 day');","Across all indents in the last 30 days, a total of {total_vehicles_requested} vehicles were requested."
7,How many indents are marked as COMPLETELY_CLOSED in the last 30 days?,"SELECT COUNT(*) AS closed_indents FROM trips_full WHERE indent_status = 'COMPLETELY_CLOSED' AND DATE(indent_created_at) >= DATE('now','-30 day');",There are {closed_indents} indents marked COMPLETELY_CLOSED in the last 30 days.
8,How many indents are not COMPLETELY_CLOSED in the last 30 days?,"SELECT COUNT(*) AS open_indents FROM trips_full WHERE indent_status <> 'COMPLETELY_CLOSED' AND DATE(indent_created_at) >= DATE('now','-30 day');",There are {open_indents} indents that are not COMPLETELY_CLOSED in the last 30 days.
9,What is the daily trip volume over the last 30 days?,"SELECT DATE(trip_created_at) AS day, COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY day ORDER BY day;",Here is the day-wise trip volume for the last 30 days.
10,What is the daily indent volume over the last 30 days?,"SELECT DATE(indent_created_at) AS day, COUNT(DISTINCT indent_fteid) AS indents FROM trips_full WHERE DATE(indent_created_at) >= DATE('now','-30 day') GROUP BY day ORDER BY day;",Here is the day-wise indent volume for the last 30 days.
